Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
366.0,Caleb Houstan,22.0,ORL,SF,5.0,0.0,6.0,0.6,2.0,0.3,0.4,1.4,0.286,0.2,0.6,0.333,0.4,0.0,0.0,,0.2,0.6,0.8,0.0,0.0,0.0,0.0,1.0,1.6,
367.0,Shake Milton,28.0,BRK,SG,7.0,0.0,8.0,0.4,1.4,0.3,0.4,1.3,0.333,0.0,0.1,0.0,0.45,0.3,0.3,1.0,0.3,0.7,1.0,0.7,0.1,0.0,0.1,0.7,1.6,
368.0,Dwight Powell,33.0,DAL,C,7.0,0.0,6.4,0.4,0.4,1.0,0.0,0.0,,0.4,0.4,1.0,1.0,0.7,1.1,0.625,0.6,0.9,1.4,0.4,0.3,0.4,0.4,1.1,1.6,
369.0,Adam Flagler,25.0,OKC,SG,4.0,0.0,1.8,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.5,1.5,
370.0,Jazian Gortman,21.0,DAL,PG,2.0,0.0,2.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.5,
371.0,Jaylen Martin,21.0,BRK,SF,2.0,0.0,1.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,
372.0,Craig Porter Jr.,24.0,CLE,PG,6.0,0.0,4.8,0.7,1.3,0.5,0.2,0.5,0.333,0.5,0.8,0.6,0.563,0.0,0.0,,0.0,0.7,0.7,0.7,0.0,0.7,0.3,0.2,1.5,
373.0,Liam Robbins,25.0,MIL,C,2.0,0.0,4.0,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.5,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,
374.0,Dillon Jones,23.0,OKC,SF,7.0,0.0,5.0,0.6,1.6,0.364,0.1,0.9,0.167,0.4,0.7,0.6,0.409,0.1,0.3,0.5,0.3,0.7,1.0,0.4,0.1,0.0,0.3,1.0,1.4,
375.0,Rob Dillingham,20.0,MIN,PG,3.0,0.0,4.3,0.7,1.3,0.5,0.0,0.0,,0.7,1.3,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,1.7,0.0,0.0,0.3,0.0,1.3,
376.0,PJ Dozier,28.0,MIN,SG,3.0,0.0,3.7,0.3,0.7,0.5,0.3,0.7,0.5,0.0,0.0,,0.75,0.3,0.7,0.5,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.3,1.3,
377.0,Trey Jemison,25.0,NOP,C,3.0,0.0,2.3,0.7,1.7,0.4,0.0,0.0,,0.7,1.7,0.4,0.4,0.0,0.0,,1.3,0.7,2.0,0.3,0.0,0.0,0.0,0.0,1.3,
378.0,Alex Len,31.0,SAC,C,6.0,0.0,8.7,0.5,1.2,0.429,0.0,0.3,0.0,0.5,0.8,0.6,0.429,0.3,0.7,0.5,0.0,2.7,2.7,1.0,0.3,1.2,0.8,1.0,1.3,
379.0,Baylor Scheierman,24.0,BOS,SG,3.0,0.0,6.0,0.3,2.0,0.167,0.0,1.3,0.0,0.3,0.7,0.5,0.167,0.7,0.7,1.0,0.3,1.0,1.3,0.0,0.0,0.0,0.0,0.7,1.3,
380.0,Terrence Shannon Jr.,24.0,MIN,SG,3.0,0.0,3.7,0.7,1.0,0.667,0.0,0.3,0.0,0.7,0.7,1.0,0.667,0.0,0.0,,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,1.3,
381.0,Pat Spencer,28.0,GSW,PG,3.0,0.0,1.7,0.7,1.0,0.667,0.0,0.0,,0.7,1.0,0.667,0.667,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.3,
